match_id,team_id,outcome,kills,deaths,assists,total_damage_dealt,gold_earned,cs,KDA,Kill Participation
SG2_12556519,100,win,33,29,42,106759,61099,496,3.0933333333333333,0.2419354838709677
SG2_12556519,200,lose,29,33,35,91692,54219,507,2.4183333333333334,0.20645161290322575
SG2_12863427,100,win,42,9,28,80974,42284,414,8.1,0.27999999999999997
SG2_13500546,100,lose,12,19,13,30227,31220,354,1.95,0.16129032258064516
SG2_13500546,200,win,19,12,14,49062,37421,442,3.6166666666666663,0.2129032258064516
SG2_13503299,100,win,24,8,10,35452,32308,305,5.466666666666667,0.2125
SG2_13503299,200,lose,8,24,2,24067,22666,258,0.3555555555555555,0.0625
SG2_13532519,100,win,47,23,56,122764,66158,628,6.9416666666666655,0.2942857142857143
SG2_13532519,200,lose,23,47,39,90831,52225,545,1.5566239316239316,0.1771428571428571
SG2_13580630,100,lose,7,17,8,35408,31082,460,0.9533333333333334,0.12499999999999997
SG2_13580630,200,win,17,7,21,43528,38141,483,7.066666666666667,0.31666666666666665
SG2_13602778,100,win,37,21,60,98953,63737,575,8.404444444444444,0.33448275862068966
SG2_13602778,200,lose,21,37,23,82158,54938,638,1.2444444444444442,0.15172413793103445
SG2_13724735,100,lose,42,60,72,167346,84543,706,1.9343589743589742,0.22352941176470584
SG2_13724735,200,win,60,42,105,189743,85083,733,4.065974025974026,0.32352941176470584
SG2_13740284,100,win,52,43,86,149680,74890,550,3.467619047619048,0.2905263157894737
SG2_13740284,200,lose,43,52,51,143335,73400,716,2.0650793650793653,0.19789473684210523
SG2_13804522,100,win,36,24,22,77781,50158,505,2.8166666666666664,0.1933333333333333
SG2_13804522,200,lose,24,36,17,70864,46518,455,1.5115384615384613,0.13666666666666666
SG2_13805338,100,win,44,30,57,109943,69863,663,3.5016666666666665,0.27297297297297296
SG2_13805338,200,lose,30,45,25,88063,56781,641,1.3670995670995671,0.14864864864864863
SG2_13806481,100,lose,35,33,23,129745,75026,969,2.139177489177489,0.17058823529411762
SG2_13806481,200,win,33,36,33,108458,77970,978,2.045,0.19411764705882348
SG2_13806686,100,win,50,30,74,145484,75577,675,4.914285714285715,0.31794871794871793
SG2_13806686,200,lose,28,51,29,138380,71258,772,1.1705128205128204,0.14615384615384613
SG2_13815753,100,lose,35,45,45,129662,74421,746,1.9338888888888888,0.2
SG2_13815753,200,win,45,36,47,145306,75446,751,4.24,0.22999999999999998
SG2_13818393,100,win,26,11,41,67917,41285,352,9.459999999999999,0.3621621621621621
SG2_13818393,200,lose,11,26,11,56792,36984,451,0.86,0.1189189189189189
SG2_13837259,100,win,25,14,25,53441,39977,453,4.206666666666666,0.2631578947368421
SG2_13837259,200,lose,13,25,8,32724,31164,360,0.8699999999999999,0.11052631578947363
SG2_13838380,100,win,38,19,51,97354,58926,612,5.96,0.3122807017543859
SG2_13838380,200,lose,19,38,25,86241,52948,620,1.1753968253968252,0.15438596491228065
SG2_13847814,100,win,37,21,24,93811,55619,539,4.75,0.2103448275862069
SG2_13847814,200,lose,21,37,27,67814,45199,453,1.23,0.16551724137931031
SG2_13856737,100,win,22,9,39,40734,34416,328,6.866666666666665,0.3935483870967742
SG2_13856737,200,lose,9,22,12,31984,27798,323,1.0685714285714285,0.1354838709677419
SG2_13891880,100,win,25,10,23,53976,41067,451,7.2,0.27428571428571424
SG2_13891880,200,lose,10,25,14,31193,31423,359,2.0114285714285716,0.1371428571428571
SG2_13894169,100,win,34,36,57,81729,52153,455,3.5454545454545454,0.26764705882352935
SG2_13894169,200,lose,34,34,31,87966,50008,421,1.9414285714285715,0.19117647058823523
SG2_14073489,100,win,16,8,7,35416,31291,347,4.35,0.19166666666666662
SG2_14073489,200,lose,8,16,7,19807,24279,289,1.89,0.12499999999999996
SG2_14074225,100,lose,24,36,25,97939,59554,665,1.3518253968253968,0.1633333333333333
SG2_14074225,200,win,36,24,49,111520,67325,663,5.784285714285714,0.2833333333333333
SG2_14074888,100,lose,28,50,44,94812,55931,529,1.5623376623376624,0.18461538461538457
SG2_14074888,200,win,50,28,56,111176,65680,557,4.145714285714286,0.2717948717948718
SG2_14075554,100,lose,21,27,32,56707,47149,575,2.035,0.22083333333333335
SG2_14075554,200,win,27,21,37,69446,52477,569,3.3404761904761906,0.26666666666666666
SG2_14081400,100,win,18,8,13,38712,33027,355,5.0,0.23846153846153842
SG2_14081400,200,lose,8,18,6,24161,26732,357,0.8066666666666666,0.10769230769230764
SG2_14082591,100,lose,29,44,46,140424,67321,747,1.668888888888889,0.2054794520547945
SG2_14082591,200,win,44,29,77,174575,72766,682,4.180952380952381,0.33150684931506846
SG2_14087467,100,win,41,22,47,73979,48568,446,4.276666666666666,0.27936507936507937
SG2_14087467,200,lose,22,41,23,55893,39464,406,1.2954112554112553,0.14285714285714282
SG2_14089060,100,win,16,9,18,40244,32287,367,4.5,0.27199999999999996
SG2_14089060,200,lose,9,16,9,24990,26957,312,1.54,0.144
SG2_14090987,100,win,36,2,74,32630,25340,68,22.0,0.5789473684210527
SG2_14091351,100,lose,32,50,35,102521,59130,581,1.4035353535353536,0.16341463414634141
SG2_14091351,200,win,50,32,70,145689,69345,555,4.725,0.2926829268292683
SG2_14178235,100,win,36,32,39,106729,63337,671,2.495,0.22058823529411759
SG2_14178235,200,lose,32,36,32,116300,54543,509,1.9866666666666668,0.188235294117647
SG2_14178726,100,lose,23,36,24,73075,51738,665,1.7409523809523808,0.15932203389830507
SG2_14178726,200,win,36,23,23,115052,61277,686,2.6714285714285717,0.19999999999999998
SG2_14292901,100,win,40,23,46,114919,74129,840,4.415,0.273015873015873
SG2_14292901,200,lose,23,40,32,139737,65698,783,1.705,0.1746031746031746
SG2_14297823,100,lose,39,59,49,169945,75293,682,1.5847619047619048,0.18144329896907213
SG2_14297823,200,win,58,39,69,164224,81788,697,3.424603174603175,0.26185567010309274
SG2_14298525,100,win,38,34,26,106172,62015,614,2.0219047619047616,0.17777777777777776
SG2_14298525,200,lose,34,38,45,134507,52552,505,2.213015873015873,0.21944444444444441
SG2_14312247,100,lose,34,34,42,82878,64936,714,2.8003174603174603,0.22352941176470584
SG2_14312247,200,win,34,34,39,136542,71413,753,3.055079365079365,0.21470588235294114
SG2_14383700,100,lose,48,65,59,234507,86128,813,1.6446620046620049,0.1893805309734513
SG2_14383700,200,win,65,48,75,193451,88825,732,3.1293650793650793,0.24778761061946902
SG2_14384732,100,lose,35,51,50,142034,63746,675,1.6333333333333333,0.19767441860465113
SG2_14384732,200,win,51,35,59,133958,74574,626,3.5504761904761906,0.25581395348837205
SG2_14389109,100,lose,38,52,57,161910,81634,793,1.9142773892773892,0.21111111111111108
SG2_14389109,200,win,52,38,76,209210,87270,854,3.556111111111111,0.2844444444444444
SG2_14390375,100,win,38,10,24,71414,44895,449,7.366666666666665,0.2583333333333333
SG2_14390375,200,lose,10,38,7,41041,30623,314,0.439047619047619,0.07083333333333333
SG2_14396228,100,win,48,33,58,106832,68773,534,4.59547619047619,0.2617283950617283
SG2_14396228,200,lose,33,48,46,92422,58553,528,1.7314285714285713,0.1950617283950617
SG2_14426507,100,win,32,36,53,111878,63961,628,2.857857142857143,0.25
SG2_14426507,200,lose,36,32,55,122987,59988,607,3.0873015873015874,0.26764705882352935
SG2_14426844,100,win,35,12,29,100505,53362,545,8.266666666666666,0.2723404255319149
SG2_14426844,200,lose,12,35,21,51176,36563,403,1.0380952380952382,0.14042553191489357
SG2_14492403,100,win,39,26,39,91429,59289,559,3.1273809523809524,0.24
SG2_14492403,200,lose,26,39,25,67805,49094,513,1.8405994005994006,0.1569230769230769
SG2_14494007,100,win,37,22,52,140094,73841,830,4.3133333333333335,0.3068965517241379
SG2_14494007,200,lose,21,37,23,111019,65122,769,1.2155555555555555,0.15172413793103445
SG2_14495150,100,win,44,41,67,192385,85934,867,2.756652236652237,0.26117647058823523
SG2_14495150,200,lose,41,45,58,181959,80542,977,2.2808802308802307,0.2329411764705882
SG2_14497353,100,win,34,30,38,114712,69461,776,3.724285714285714,0.225
SG2_14497353,200,lose,30,34,46,112100,61380,720,2.4023809523809523,0.2375
SG2_14524421,100,win,28,31,55,124363,64954,627,3.0285714285714285,0.28135593220338984
SG2_14524421,200,lose,31,29,50,104324,63875,701,3.0095238095238095,0.2745762711864407
SG2_14525098,100,lose,9,14,6,25023,25195,297,1.05,0.13043478260869562
SG2_14525098,200,win,14,9,12,36494,29470,369,4.133333333333333,0.2260869565217391
SG2_14528334,100,win,36,21,47,85338,50353,498,4.253333333333333,0.2912280701754385
SG2_14528334,200,lose,21,36,23,56363,39313,365,1.2702380952380952,0.15438596491228063
SG2_14530349,100,lose,16,39,24,53812,40536,438,1.036111111111111,0.14545454545454542
SG2_14530349,200,win,39,17,41,90978,57941,553,6.0200000000000005,0.2909090909090909
SG2_14533539,100,lose,41,42,53,153366,65170,616,2.4523520923520925,0.2265060240963855
SG2_14533539,200,win,42,41,53,148878,70273,651,2.4423809523809523,0.22891566265060237
SG2_14534122,100,lose,33,45,44,114818,58371,535,1.7072222222222222,0.19743589743589737
SG2_14534122,200,win,45,33,51,116482,64653,532,3.0666666666666664,0.2461538461538461
SG2_14974886,100,win,50,42,42,160570,77363,700,2.2934126984126983,0.19999999999999996
SG2_14974886,200,lose,42,50,46,157537,65102,662,1.77,0.1913043478260869
SG2_15896134,100,lose,29,41,24,123284,65888,804,1.6736568986568987,0.15142857142857136
SG2_15896134,200,win,41,29,44,166240,77319,837,6.647857142857143,0.2428571428571428
SG2_15921705,100,lose,39,54,51,119643,63964,647,2.002727272727273,0.1935483870967742
SG2_15921705,200,win,54,39,56,131906,73299,649,3.1768181818181818,0.2365591397849462
SG2_16209122,100,lose,3,8,2,9209,12622,122,0.6333333333333333,0.1
SG2_16209122,200,win,7,3,7,11832,16547,174,2.7,0.27999999999999997
SG2_16211186,100,lose,22,24,18,65675,50505,628,2.3333333333333335,0.17391304347826084
SG2_16211186,200,win,24,22,25,64175,56453,593,5.655555555555556,0.21304347826086953
SG2_16425860,100,lose,45,48,64,159273,72073,614,2.389255189255189,0.23695652173913043
SG2_16425860,200,win,47,45,65,152275,76812,606,2.5247835497835496,0.2434782608695652
SG2_16430305,100,win,47,44,73,213510,85971,815,2.7512265512265515,0.2637362637362637
SG2_16430305,200,lose,44,47,50,148599,79647,810,2.043867243867244,0.20659340659340658
SG2_16430598,100,win,54,26,50,115451,68512,617,6.183809523809524,0.26
SG2_16430598,200,lose,26,54,27,80188,53082,533,1.4636363636363636,0.1325
SG2_16463746,100,lose,24,40,29,87629,51701,534,1.3634920634920635,0.165625
SG2_16463746,200,win,40,24,66,106572,63778,554,7.279999999999999,0.33125
SG2_16465241,100,lose,22,40,20,88390,47195,535,1.5606060606060606,0.1354838709677419
SG2_16465241,200,win,40,22,44,112747,61558,655,4.135714285714285,0.27096774193548384
SG2_16484173,100,lose,23,46,35,96657,57406,628,1.4808080808080808,0.16811594202898544
SG2_16484173,200,win,46,23,57,122283,69432,631,4.406666666666666,0.2985507246376811
SG2_16573824,100,win,32,17,45,114825,59411,582,7.540476190476191,0.3142857142857142
SG2_16573824,200,lose,17,32,20,58614,44738,524,1.3516666666666668,0.15102040816326526
SG2_16577874,100,win,28,21,21,66539,47690,483,2.9238095238095236,0.19999999999999998
SG2_16577874,200,lose,21,28,26,58073,40586,447,1.9878571428571425,0.1918367346938775
SG2_16578395,100,win,33,29,41,70559,53847,494,2.6,0.23870967741935484
SG2_16578395,200,lose,29,34,36,85727,48680,448,2.064285714285714,0.20967741935483866
SG2_16655121,100,win,50,46,52,164999,81834,701,2.4656410256410255,0.21473684210526311
SG2_16655121,200,lose,45,50,59,137113,72896,603,2.667069597069597,0.2189473684210526
SG2_16827921,100,lose,8,19,8,29587,26760,323,1.0333333333333334,0.1185185185185185
SG2_16827921,200,win,19,8,15,38794,34358,411,5.366666666666666,0.2518518518518518
SG2_16830041,100,win,20,13,23,58220,37577,450,4.416666666666666,0.2606060606060606
SG2_16830041,200,lose,13,20,15,46005,35711,435,2.2416666666666667,0.16969696969696968
SG2_16860637,100,win,16,4,15,29089,28510,312,5.6,0.31
SG2_16860637,200,lose,4,16,4,24372,21084,255,0.6333333333333333,0.08
SG2_16863466,100,win,46,21,52,142496,81975,816,5.325,0.2925373134328358
SG2_16863466,200,lose,21,46,38,102855,67043,860,1.472222222222222,0.17611940298507459
SG2_16869482,100,lose,36,56,38,148743,77530,774,1.3977272727272727,0.1644444444444444
SG2_16869482,200,win,54,36,89,184191,84358,697,5.666666666666667,0.3177777777777777
SG2_17267549,100,lose,5,11,7,19597,20783,233,1.5833333333333335,0.15
SG2_17267549,200,win,11,5,4,31097,28172,338,2.8,0.1875
SG2_17302765,100,lose,38,41,34,136272,78871,970,2.9366666666666665,0.18227848101265817
SG2_17302765,200,win,41,38,43,169244,84404,876,3.113095238095238,0.2126582278481012
SG2_17310727,100,win,50,41,65,181187,81549,640,2.829761904761905,0.25274725274725274
SG2_17310727,200,lose,41,50,72,143961,71006,735,2.3563880563880564,0.2483516483516483
SG2_17327799,100,win,52,22,54,105374,61802,469,7.99047619047619,0.28648648648648645
SG2_17327799,200,lose,22,52,31,97093,42716,426,1.0964646464646464,0.1432432432432432
SG2_17334714,100,lose,14,22,17,32258,30519,351,1.561904761904762,0.17222222222222222
SG2_17334714,200,win,22,14,25,40850,37193,374,5.5600000000000005,0.2611111111111111
SG2_17335846,100,win,51,56,69,160406,82402,688,2.583397435897436,0.22429906542056072
SG2_17335846,200,lose,56,51,47,179233,78676,694,2.2128571428571426,0.19252336448598126
SG2_17529346,100,win,58,36,70,158357,75262,675,4.01,0.27234042553191484
SG2_17529346,200,lose,36,58,36,133684,71400,800,1.513131313131313,0.15319148936170207
SG2_17530923,100,lose,33,47,60,95357,55715,521,2.0861111111111112,0.2325
SG2_17530923,200,win,47,34,80,117161,64526,457,3.8085714285714287,0.3175
SG2_17536099,100,win,49,38,76,137064,67449,550,3.6152380952380954,0.28735632183908044
SG2_17536099,200,lose,38,49,68,145072,60797,529,2.229090909090909,0.2436781609195402
SG2_17548411,100,win,53,42,67,133505,71028,562,2.9756493506493507,0.2553191489361702
SG2_17548411,200,lose,41,53,53,123595,59950,503,1.909090909090909,0.19999999999999996
SG2_17564920,100,win,41,24,49,111754,63355,599,3.78,0.27692307692307694
SG2_17564920,200,lose,24,41,34,83839,50189,523,1.8526767676767677,0.17846153846153842
SG2_17572185,100,win,60,24,96,162658,66979,532,7.062380952380953,0.3714285714285714
SG2_17572185,200,lose,24,60,36,91148,56190,501,0.9963636363636365,0.1428571428571428
SG2_17948583,100,lose,20,28,23,82699,51668,590,1.6371428571428575,0.17916666666666664
SG2_17948583,200,win,28,20,44,84913,62663,668,4.173333333333334,0.3
SG2_17969406,100,lose,45,55,39,125974,73360,681,1.5597979797979797,0.16799999999999998
SG2_17969406,200,win,55,45,85,171685,82410,679,3.4035164835164835,0.27999999999999997
SG2_18120407,100,lose,38,59,45,120303,69498,687,1.424981684981685,0.17113402061855662
SG2_18120407,200,win,59,40,52,142466,81140,665,3.2846031746031747,0.22886597938144324
SG2_18279481,100,win,36,22,64,82253,52042,452,7.857142857142857,0.3448275862068965
SG2_18279481,200,lose,22,36,40,68266,40723,437,1.7433333333333334,0.21379310344827585
SG2_18291977,100,win,47,37,88,154747,73226,680,4.114285714285715,0.32530120481927705
SG2_18291977,200,lose,36,47,58,163923,68830,625,2.072063492063492,0.2265060240963855
SG2_18294925,100,lose,23,61,21,102992,60582,687,0.7632627176744824,0.10476190476190472
SG2_18294925,200,win,61,23,73,153851,80862,707,7.871666666666667,0.319047619047619
SG2_18930486,100,lose,27,43,42,104009,54961,619,1.877857142857143,0.19714285714285712
SG2_18930486,200,win,43,27,39,126231,67575,618,7.330714285714285,0.23428571428571426
SG2_18932122,100,win,30,23,33,72516,49636,524,3.9142857142857137,0.23773584905660378
SG2_18932122,200,lose,23,30,26,60989,46955,465,1.976904761904762,0.18490566037735845
SG2_18933786,100,lose,13,17,17,44615,31151,333,3.3357142857142863,0.19999999999999998
SG2_18933786,200,win,17,13,17,45389,37516,408,4.075,0.22666666666666666
SG2_18937449,100,win,33,38,37,114059,64915,672,2.37,0.19718309859154926
SG2_18937449,200,lose,38,33,44,117704,64359,716,2.9904761904761905,0.23098591549295772
SG2_18939338,100,win,13,7,7,32590,33309,438,3.3,0.2
SG2_18939338,200,lose,7,13,5,27036,26007,333,1.4166666666666665,0.12
SG2_18946001,100,win,41,41,70,116196,68201,550,2.937777777777778,0.27073170731707313
SG2_18946001,200,lose,41,41,44,120427,61104,568,2.3722222222222222,0.20731707317073167
SG2_18957237,100,lose,18,65,23,153477,78587,883,0.6332085561497326,0.09879518072289153
SG2_18957237,200,win,65,18,81,242060,94619,863,9.913333333333332,0.35180722891566263
SG2_18960969,100,win,32,13,23,89011,51374,524,5.4,0.2444444444444444
SG2_18960969,200,lose,13,34,24,59852,36242,369,1.1066666666666667,0.1644444444444444
SG2_19399619,100,win,28,13,22,62125,42591,441,4.25,0.24390243902439018
SG2_19399619,200,lose,13,28,9,43014,34057,371,0.8516666666666666,0.10731707317073166
SG2_19403286,100,lose,17,34,16,53519,36179,369,1.4333766233766234,0.12941176470588234
SG2_19403286,200,win,34,17,36,61903,47631,444,7.323333333333333,0.27450980392156865
SG2_19407223,100,win,48,28,63,119389,70808,588,4.088333333333333,0.2921052631578947
SG2_19407223,200,lose,28,48,38,86732,57994,574,1.9049206349206351,0.17368421052631575
SG2_19544939,100,win,41,34,51,96790,60501,460,3.036111111111111,0.2486486486486486
SG2_19544939,200,lose,33,41,34,74286,50307,540,1.6412698412698412,0.18108108108108106
SG2_19549728,100,win,60,51,73,202300,90075,720,2.782167832167832,0.23963963963963963
SG2_19549728,200,lose,51,60,68,182060,81853,643,2.1503318903318904,0.2144144144144144
SG2_19558574,100,win,28,21,47,92855,56939,572,3.6733333333333333,0.30612244897959184
SG2_19558574,200,lose,21,28,23,73078,46345,525,1.718888888888889,0.17959183673469387
SG2_19562351,100,win,54,66,55,145422,81344,772,1.6431235431235431,0.18166666666666662
SG2_19562351,200,lose,66,54,54,181746,80813,711,2.393162393162393,0.19999999999999996
SG2_19769789,100,lose,23,37,34,82343,50861,534,1.6566666666666667,0.19
SG2_19769789,200,win,37,24,43,113400,64051,577,4.288888888888889,0.2666666666666666
SG2_19822146,100,win,31,19,55,86061,56501,518,5.253333333333333,0.344
SG2_19822146,200,lose,19,32,29,72902,47126,525,1.9597619047619048,0.192
SG2_19825776,100,win,41,30,52,117646,64274,657,3.1276190476190475,0.2619718309859155
SG2_19825776,200,lose,30,41,39,92271,56566,596,1.795995115995116,0.19436619718309853
SG2_19839099,100,win,28,13,23,55977,42545,415,5.7666666666666675,0.255
SG2_19839099,200,lose,12,28,7,40118,30779,381,0.8166666666666667,0.095
SG2_19841479,100,win,46,34,47,144058,70598,677,2.557875457875458,0.2325
SG2_19841479,200,lose,34,46,48,88120,69350,645,1.978333333333333,0.205
SG2_19923905,100,lose,37,46,45,115650,59900,581,1.7995454545454546,0.19759036144578307
SG2_19923905,200,win,46,37,60,127206,67731,593,3.277142857142857,0.25542168674698795
SG2_19927967,100,win,53,41,56,161759,83122,825,2.8238095238095235,0.23191489361702122
SG2_19927967,200,lose,41,53,33,138682,73903,818,1.434195804195804,0.15744680851063825
SG2_19929977,100,win,47,24,63,131559,64167,459,6.44,0.3098591549295774
SG2_19929977,200,lose,24,47,28,78687,56605,649,1.1953296703296703,0.1464788732394366
SG2_19930599,100,lose,45,28,61,111722,59013,499,4.140476190476191,0.2904109589041096
SG2_19930599,200,win,28,45,33,101405,57940,575,1.4388888888888889,0.16712328767123288
SG2_19934934,100,lose,47,57,64,159886,75124,618,2.01965367965368,0.21346153846153842
SG2_19934934,200,win,57,47,88,173317,80752,637,3.2592857142857143,0.2788461538461538
SG2_19936118,100,win,42,40,70,143019,65893,537,3.04,0.27999999999999997
SG2_19936118,200,lose,38,42,56,123760,60337,566,2.6387878787878787,0.23500000000000001
SG2_19960811,100,lose,13,20,13,33619,25979,236,1.6904761904761905,0.15757575757575756
SG2_19960811,200,win,20,13,8,41468,30378,330,2.3,0.16969696969696968
SG2_19967061,100,win,19,10,9,41690,33978,337,2.9,0.19310344827586207
SG2_19967061,200,lose,10,19,8,22924,25063,304,1.1166666666666667,0.12413793103448274
SG2_19967924,100,win,58,32,50,113225,65185,547,3.434761904761905,0.23999999999999994
SG2_19967924,200,lose,32,58,43,108230,59351,521,1.31469696969697,0.16666666666666663
SG2_19970948,100,lose,21,26,7,59261,46844,540,1.0023809523809524,0.12173913043478257
SG2_19970948,200,win,25,22,33,75630,55584,524,2.9333333333333336,0.25217391304347825
SG2_19984868,100,lose,20,32,22,63082,47081,624,1.4616666666666667,0.1615384615384615
SG2_19984868,200,win,32,20,39,90392,59226,523,6.049047619047618,0.2730769230769231
SG2_20043375,100,lose,13,42,16,59289,42124,559,0.7114285714285714,0.1054545454545454
SG2_20043375,200,win,42,13,50,96549,57778,509,10.666666666666668,0.3345454545454545
SG2_20045559,100,lose,25,50,38,120330,69810,816,1.3541666666666667,0.16799999999999998
SG2_20045559,200,win,50,25,72,164281,79757,810,8.669285714285715,0.32533333333333336
SG2_20196663,100,win,36,31,33,119880,70320,762,2.3216666666666663,0.2059701492537313
SG2_20196663,200,lose,31,36,31,106104,63590,687,1.8987301587301588,0.1850746268656716
SG2_20199959,100,lose,11,30,12,27464,24568,230,0.7888888888888889,0.11499999999999999
SG2_20199959,200,win,29,11,34,44146,38119,351,6.1,0.315
SG2_20334970,100,lose,28,26,43,81391,49537,565,3.161904761904762,0.26296296296296295
SG2_20334970,200,win,26,28,25,87121,55246,556,1.8304761904761904,0.18888888888888886
SG2_20338480,100,lose,40,34,42,126391,65564,682,3.9299999999999997,0.22162162162162158
SG2_20338480,200,win,34,40,28,112220,67359,712,1.7594444444444446,0.16756756756756752
SG2_20396728,100,lose,20,43,22,101777,50366,569,1.0278787878787878,0.1333333333333333
SG2_20396728,200,win,43,20,53,123356,63593,611,7.971428571428571,0.30476190476190473
SG2_20536809,100,lose,23,38,28,76309,47416,572,1.988051948051948,0.16999999999999998
SG2_20536809,200,win,37,23,33,93381,56658,527,3.84,0.2333333333333333
SG2_20546595,100,win,10,11,10,25065,24398,268,2.2333333333333334,0.1904761904761904
SG2_20546595,200,lose,11,10,10,18935,19599,178,2.4,0.19999999999999996
SG2_20971264,100,lose,23,49,42,126040,65591,693,1.4483333333333333,0.1830985915492957
SG2_20971264,200,win,48,23,58,142891,74136,698,4.783333333333333,0.2985915492957746
SG2_21035070,100,win,44,28,71,121507,70522,593,8.32,0.3285714285714285
SG2_21035070,200,lose,26,44,38,132201,58260,646,1.4672222222222222,0.18285714285714283
SG2_21125848,100,win,28,23,14,90434,51618,607,2.4833333333333334,0.16470588235294117
SG2_21125848,200,lose,23,28,26,83119,49650,539,2.7466666666666666,0.19215686274509802
SG2_21171575,100,win,40,22,44,108121,56707,529,4.01,0.27540983606557373
SG2_21171575,200,lose,21,40,41,69060,44498,460,1.8642857142857143,0.20327868852459013
SG2_21172956,100,lose,15,28,16,35199,30859,322,1.7488095238095238,0.14761904761904757
SG2_21172956,200,win,27,15,33,48238,41008,401,4.993333333333334,0.2857142857142857
